trail_name,latitude,longitude
Bonfol Km 0,47.48827272168631,7.176594689318389
Chemin de Mont-Soleil,47.155661740393725,6.988104067407801
Gemsweg Saas-Fee,46.10701879128907,7.912074363526978
Tour du Lac de Moiry,46.11949981757527,7.576911819123359
Clariden-Höhenweg,46.869962709962365,8.890676160280492
Chemin de Moron,47.27176123830508,7.303679803700307
La Via del Mercato,46.170699633638954,8.651654657842117
Giro del Castello di Serravalle,46.41466408611948,8.971667893356978
Margelchopf-Gipfelweg,47.146301114324814,9.39824705225106
7-Seenwanderweg Bellwald,46.457233150607465,8.169859604021752
Autour du Mont Gond,46.13075481840213,7.284928316583555
Sentier du Balcon du Mont-Blanc,46.08752676499465,6.965663992181628
Giro del ponte tibetano,46.18568793475888,8.984694696194923
Sentiero etnografico Revöira,46.26759828773766,8.825237604111727
Hasebode-Weg,47.15612601770228,9.123826805927848
Blauburgunderland Panoramaweg,47.701315500776396,8.447346700339795
Tour des Alpes Vaudoises,46.33431946932774,7.091169166169935
Chemin de Chasseral,47.134118556602054,7.065005464527138
Chaltenbrunnen-Hochmoorweg,46.71082176586414,8.14994787949782
Felsenweg Bürgenstock,46.99526883746454,8.395373127320552
Züri Oberland-Höhenweg,47.376890343727105,8.944131932530889
WALSA-Weg,47.07231181203781,9.325907394581233
Prättigauer Höhenweg,47.03479783725525,9.746405011396675
Chemin des Trois-Lacs,46.8922789952117,6.9074045113778775
Weg der Schweiz,46.934912843221184,8.612866483963296
St. Galler Brückenweg,47.40722987460314,9.337954513811853
Ofenloch-Weg,47.25436271753032,9.256613088634863
Gürbetaler Höhenweg,46.85732040581454,7.481381109819722
Luzerner Kapellenweg,47.102137430766255,8.099319991081192
Eschnerberg-Höhenweg,47.23282117917141,9.546267396260221
Taminaschlucht Rundweg,46.98884141053635,9.500465178408213
Alter Zügenweg,46.7092240906537,9.74568416732011
Heidbüel-Tgantieni-Höhenweg,46.74377745740817,9.526308487645549
Sentier de la Jougnena,46.734760719211366,6.390025164752277
Panyer Rundweg,46.953714435698295,9.758728100981557
Sentier des alpages de Vionnaz,46.30623092248069,6.855947218885256
Moosalp Panoramaweg,46.260220019491136,7.837408151789712
Sentier du Noirmont,46.47776969755114,6.105040729458763
Tüfelschilen-Schauenberg Weg,47.46108029979427,8.833698222916405
Oberdorf-Grenchen-Waldrandweg,47.21918052381537,7.440546887278982
Far West du canton de Genève,46.13824023408207,5.968184530938707
Au fil de la Versoix,46.281426840293065,6.138903241553226
Tour du Grand Chavalard,46.18184120403184,7.132754044536276
Gürbe-Wildwasserweg,46.738657464005634,7.485610403324337
Chemin de la Combe Grède,47.13475686762105,7.007494470273354
Binntal Schaplersee-Weg,46.357041782648885,8.197990301977569
Sentier Panorama 4000,46.34995137893316,7.5169905428939465
Chemin de Raimeux,47.29498741640471,7.432669560628388
Triesenberger Philosophenweg,47.131862305635366,9.546298617202737
Senda dils Senns Val Plattas,46.670169642336084,8.868500311935813
Appenzeller Alpenweg,47.28488194915205,9.296430002749988
ViaValtellina,46.59646221753558,9.953865282613693
Sentier des Chamois,46.05716908640571,7.296806592394521
Entre Arve et Lac,46.256283650711715,6.244659777612223
Sentiero Lago di Lugano,46.00602937511409,8.962370220752643
Chemin des Bisses,46.19052489465713,7.398075068745961
Walserweg Obersaxen,46.74276516716264,9.102262245303422
